Date,Close,High,Low,Open,Volume
2002-07-01,45.31838607788086,46.564766312125926,44.37113633912448,44.96939733010187,51968
2002-07-02,46.46504974365234,47.56186654068424,45.7670799134915,46.26563196569227,62553
2002-07-03,46.36534118652344,47.36244529806158,46.01635626894522,46.41519563137028,19050
2002-07-04,46.11606597900391,47.26273724913119,45.36823788204708,47.163024554013376,28525
2002-07-05,45.71722412109375,46.66447383188767,45.36823918726728,46.66447383188767,19528
2002-07-08,45.11896133422852,45.86678942264114,42.87547706899064,43.37402912793238,23664
2002-07-09,43.17460632324219,46.21577303609448,42.42677825596784,46.21577303609448,30232
2002-07-10,42.37692642211914,44.620410762113686,41.97808324021548,44.57055631528834,15094
2002-07-11,42.27721786499024,44.67026556450918,41.87837467991182,43.87258299800286,31276
2002-07-12,41.57924270629883,43.623305398528366,41.08069064460136,43.623305398528366,17793
2002-07-15,39.9838752746582,46.76418660220717,39.48532319490611,46.76418660220717,13957
2002-07-16,39.734596252441406,41.08068904892934,39.38561134426874,39.93401783010446,19653
2002-07-17,39.18619155883789,42.775768709996186,38.43836346113621,42.775768709996186,19462
2002-07-18,40.43257141113281,40.88126902703769,38.98676967261726,40.88126902703769,17604
2002-07-19,40.03373336791992,43.87258284543531,37.98966680606447,38.88706206754494,70572
2002-07-22,39.08648300170898,41.62909779492013,38.48821823623844,40.88126969081976,25271
2002-07-23,37.98966979980469,39.13634119054203,37.7403937412662,38.43836746590412,17578
2002-07-24,37.142127990722656,38.48821701389275,36.892851963939286,38.48821701389275,13782
2002-07-25,37.04241943359375,39.884164642943325,36.44415468175939,39.884164642943325,16618
2002-07-26,35.04821014404297,39.38561139664363,34.400090966688744,39.38561139664363,20434
2002-07-29,29.26500701904297,34.69922346502772,28.068481285010883,34.69922346502772,32449
2002-07-30,27.07137680053711,30.71080650158249,23.930499165438363,29.91312395679796,15500
2002-07-31,26.97166633605957,30.910228465821792,24.927603601469187,24.927603601469187,16954
2002-08-01,28.218048095703125,29.11544339704996,26.47311574592368,27.07137864621313,16902
2002-08-02,28.0684814453125,28.616889868969725,26.921812053047734,27.81920540778428,10039
2002-08-05,28.0684814453125,29.91312450338637,25.924707902934852,25.924707902934852,5930
2002-08-06,30.760662078857425,33.40298758183128,27.7194934116553,27.819204202712367,53993
